clase,split,nitidez,mean,std,p25,p75
chiari,train,6400.72,16.189493,44.18063,0.0,0.0
normal,train,210.84,87.08685,74.12027,10.75,153.0
normal,train,1853.71,76.063194,72.084724,7.0,138.0
chiari,train,170.78,103.51184,72.365135,29.0,157.0
chiari,train,202.01,75.91123,71.67856,3.0,131.0
chiari,train,1475.07,62.169502,81.6329,0.0,114.0
chiari,train,1694.17,69.292786,70.44292,10.0,110.0
chiari,train,439.53,93.61274,69.20566,32.0,149.0
normal,train,401.42,89.77513,76.89785,0.0,154.0
normal,train,98.04,69.86713,69.11366,0.0,121.0
normal,train,185.05,98.12421,74.541405,26.0,156.0
chiari,train,205.0,67.211716,68.03904,9.0,109.0
normal,train,155.75,91.080475,72.824776,15.0,143.0
normal,train,1765.46,105.00712,77.36863,25.0,170.0
chiari,train,197.16,53.822186,64.0777,3.0,86.0
chiari,train,882.91,68.28334,68.51746,16.0,101.0
normal,train,131.17,81.42343,71.074455,6.0,132.0
chiari,train,282.12,84.94131,74.41579,6.0,135.0
normal,train,3891.31,37.509068,67.56033,0.0,48.0
chiari,train,296.32,76.39066,66.97563,8.0,121.0
chiari,train,126.06,81.25895,63.800457,17.0,132.0
normal,train,8770.41,33.61854,65.21328,0.0,13.0
normal,train,112.24,87.88202,67.969986,20.0,136.0
chiari,train,110.49,98.86809,84.670296,5.0,165.0
chiari,train,344.12,67.8861,72.334404,5.0,111.0
normal,train,184.15,114.03958,65.99284,65.0,160.0
chiari,train,196.46,62.939293,69.77557,0.0,99.0
normal,train,657.88,98.09937,64.31998,42.0,134.0
chiari,train,807.65,87.63889,70.938576,22.0,138.0
normal,train,128.51,100.007774,67.421196,42.0,147.0
chiari,train,2995.19,85.66394,75.39213,15.0,136.0
chiari,train,518.45,82.10072,68.233284,20.0,117.0
chiari,train,123.88,85.51188,61.71205,29.0,133.0
normal,train,543.1,97.2511,84.58226,0.0,171.0
normal,train,429.84,102.991135,57.41245,64.0,141.0
normal,train,237.31,71.94483,71.32053,3.0,130.0
chiari,train,827.52,71.976105,71.86143,6.0,111.25
normal,train,149.07,82.99651,67.385025,14.0,131.0
normal,train,1936.69,47.023678,69.637924,0.0,93.0
chiari,train,386.64,67.864494,73.06008,6.0,116.0
normal,train,93.86,85.32761,70.8516,10.0,146.0
normal,train,130.47,78.48886,70.93349,4.0,135.0
chiari,val,1010.68,100.41663,78.83114,20.0,164.0
normal,val,166.84,94.62986,63.762653,41.0,134.0
normal,val,1512.56,63.163425,72.41702,0.0,136.0
chiari,val,250.83,93.239395,67.84417,38.0,136.0
chiari,val,642.69,95.71345,69.70635,21.0,149.0
chiari,val,6237.32,11.015904,38.223873,0.0,0.0
normal,val,6579.13,37.06802,68.82137,0.0,30.0
normal,val,1008.84,64.640045,72.13641,0.0,113.0
chiari,val,423.67,82.53155,73.88366,3.0,134.0
normal,test,3145.46,24.75259,53.729385,0.0,2.0
chiari,test,417.61,74.74462,63.560577,7.0,114.0
chiari,test,344.57,63.708588,58.853382,3.0,104.0
normal,test,189.62,80.37855,64.74254,14.0,126.0
chiari,test,3398.25,82.0568,74.41648,0.0,143.0
normal,test,199.42,78.43017,78.35962,6.0,142.0
normal,test,513.01,83.68192,72.66668,8.0,140.0
normal,test,1005.43,76.03739,65.4142,13.0,115.0
chiari,test,462.8,101.22321,82.41603,8.0,172.0
